source,time,talker,text
Iron_Man_Full_Script,,TONY,"Oh, I get it. You guys aren't allowed to talk. Is that it? Are you not allowed to talk? One Airman grins, fidgeting with his orange NY Mets watch."
Iron_Man_Full_Script,,JIMMY,No. We're allowed to talk.
Iron_Man_Full_Script,,TONY,Oh. I see. So it's personal.
Iron_Man_Full_Script,,RAMIREZ,I think they're intimidated.
Iron_Man_Full_Script,,TONY,"Good God, you're a woman. The others try to compress laughs."
Iron_Man_Full_Script,,TONY,"I, honestly, I couldn't have called that. (after silence) I would apologize, but isn't that what we're going for here? I saw you as a soldier first."
Iron_Man_Full_Script,,JIMMY,"I have a question, sir."
Iron_Man_Full_Script,,TONY,Please.
Iron_Man_Full_Script,,JIMMY,Is it true you're twelve for twelve with last years Maxim cover girls?
Iron_Man_Full_Script,,TONY,"Excellent question. Yes and no. March and I had a schedule conflict but, thankfully, the Christmas cover was twins. Anyone else? You, with the hand up."
Iron_Man_Full_Script,,PRATT,It's a little embarrassing.
Iron_Man_Full_Script,,TONY,Join the club.
Iron_Man_Full_Script,,PRATT,Can I take a picture with you?
Iron_Man_Full_Script,,TONY,"Are you aware that Native Americans believe photographs steal a little piece of your soul? (then) Not to worry, mine's long gone. Fire away. Pratt, excited, poses as another Airman snaps the photo. A second later A MASSIVE EXPLOSION rocks them. Through the windshield, the Humvee ahead of them erupts in a fireball. Tony is flung aside, and in the side-mirror The Humvee behind them EXPLODES. Pandemonium as The Airmen are instantly in battle mode. They scramble out, shutting Tony inside."
Iron_Man_Full_Script,,PRATT,"STAY HERE! TONY'S POV - OF JIMMY: as he's stitched by a bouncing Betty mine. Now, running past, firing a .50 cal. machine gun is -- USAF Lt. Colonel JAMES ""RHODEY"" RHODES. He looks in."
Iron_Man_Full_Script,,RHODEY,"GET DOWN, TONY. GET THE -- An EXPLOSION cuts him off. Rhodey fires through the chaos, covering all directions, then advances into the murk. Another Hummer goes up in a fireball, and now -- Tony's window blows in, spraying glass and shrapnel. He scrambles for the door. 3 EXT. TONY'S HUMVEE - SECONDS LATER	3 Smoke. Machine gun fire. Tracers zip past. SHOUTING. Tony ducks, scampering along. He spots an M-16, picks it up, but the weapon is burning hot. He drops it, moves on when-- Something PINGS off a smoldering Humvee and thuds in the dirt near him. He spins and we -- SNAP ZOOM TO: an RPG, revealing its pedigree, ""USM 11676 - STARK MUNITIONS."" Just as we suspect it's a dud, it DETONATES and throws Tony back, shredding his suit and revealing his body armor underneath. Over the chatter of SMALL ARMS FIRE we -- FADE TO WHITE: 4 INT. INSURGENT CAVE - AFGHANISTAN - DAY	4 Tony snaps awake. He's tied to a chair, bloody rags covering his chest. Two Insurgents flank a DV camera. Behind Tony a line of armed hooded men and a banner showing ten interlocked rings. The Leader, a huge Choori knife in one hand, reads rhetoric (in Dari) for the camera. PUSH IN ON - THE DV CAMERA VIEWFINDER: until the image of a desperate Tony breaks up into pixel chaos. CUT TO: 5 CREDITS OVER A FULL SCREEN FILM REEL	5 The attack on Pearl Harbor. FDR gives an impassioned speech."
Iron_Man_Full_Script,,NARRATOR,"December 7, 1941: the day the world changed forever. President Roosevelt declares the United States will build fifty thousand planes to fight the armies of Hirohito and Hitler-- S.S. Officers goose-step through Paris."
Iron_Man_Full_Script,,NARRATOR,"Although no such capacity to build existed -- 1940s L.A., an unassuming hangar reads: ""STARK INDUSTRIES."""
Iron_Man_Full_Script,,NARRATOR,"Howard Stark, founder of the fledgling Stark Industries, answers his call to duty -- A Young Howard Stark shakes FDR's hand."
Iron_Man_Full_Script,,NARRATOR,"And builds not fifty, but a hundred thousand planes. An airfield covered in B-29s. Stark bombers in flight, strewing bombs and paratroopers across the sky."
Iron_Man_Full_Script,,NARRATOR,"Later, Stark's work on the Manhattan project makes the end of the war possible. A mushroom cloud in the New Mexico desert. Howard Stark observes with Oppenheimer."
Iron_Man_Full_Script,,NARRATOR,"Stark Industries would go on to contribute to every major weapons system through the Cold War -- Korean War, B-52s, ICBMS, nuclear subs, F-16s launching from carriers. Howard Stark with Kennedy, Johnson, Nixon."
Iron_Man_Full_Script,,NARRATOR,"But Howard Stark's greatest achievement would come in 1973-- President Ford, holding baby Tony, posing with Howard. Four year-old Tony building a massive building-block city. Howard and twelve year-old Tony assembling a hot-rod engine."
Iron_Man_Full_Script,,NARRATOR,"From early on, it was clear that Tony Stark had a unique gift-- Tony working on TURBINE ENGINES in a hangar full of F-18s."
Iron_Man_Full_Script,,NARRATOR,"At seventeen he graduated summa cum laude from MIT. Four years later, tragedy would pass the Stark mantle from father to son-- Howard's funeral. Tony with Reagan, Bush Sr. and Clinton."
Iron_Man_Full_Script,,NARRATOR,The loss of a titan. But Tony did not let personal grief distract him from his duty -- Tony cuts the ribbon on a brand new ARK REACTOR at Stark Industries West Coast HQ.
Iron_Man_Full_Script,,NARRATOR,"At twenty-one, he became the youngest-ever CEO of a Fortune 500 company. And with it came a new mandate -- A laser-guided bomb hits its target."
